Condition,CodeType,DxCodeLocation,DxCode
ALZH,ICD10DX,ANY,G30.0
ALZH,ICD10DX,ANY,G30.1
ALZH,ICD10DX,ANY,G30.8
ALZH,ICD10DX,ANY,G30.9
AMI,ICD10DX,ANY,I21.01
AMI,ICD10DX,ANY,I21.02
AMI,ICD10DX,ANY,I21.09
AMI,ICD10DX,ANY,I21.11
AMI,ICD10DX,ANY,I21.19
AMI,ICD10DX,ANY,I21.21
AMI,ICD10DX,ANY,I21.29
AMI,ICD10DX,ANY,I21.3
AMI,ICD10DX,ANY,I21.4
AMI,ICD10DX,ANY,I21.9
AMI,ICD10DX,ANY,I21.A1
AMI,ICD10DX,ANY,I21.A9
AMI,ICD10DX,ANY,I22.0
AMI,ICD10DX,ANY,I22.1
AMI,ICD10DX,ANY,I22.2
AMI,ICD10DX,ANY,I22.8
AMI,ICD10DX,ANY,I22.9
AMI,ICD10DX,ANY,I23.0
AMI,ICD10DX,ANY,I23.1
AMI,ICD10DX,ANY,I23.2
AMI,ICD10DX,ANY,I23.3
AMI,ICD10DX,ANY,I23.4
AMI,ICD10DX,ANY,I23.5
AMI,ICD10DX,ANY,I23.6
AMI,ICD10DX,ANY,I23.7
AMI,ICD10DX,ANY,I23.8
ANEMIA,ICD10DX,ANY,C94.6
ANEMIA,ICD10DX,ANY,D46.0
ANEMIA,ICD10DX,ANY,D46.1
ANEMIA,ICD10DX,ANY,D46.20
ANEMIA,ICD10DX,ANY,D46.21
ANEMIA,ICD10DX,ANY,D46.22
ANEMIA,ICD10DX,ANY,D46.4
ANEMIA,ICD10DX,ANY,D46.9
ANEMIA,ICD10DX,ANY,D46.A
ANEMIA,ICD10DX,ANY,D46.B
ANEMIA,ICD10DX,ANY,D46.C
ANEMIA,ICD10DX,ANY,D46.Z
ANEMIA,ICD10DX,ANY,D47.4
ANEMIA,ICD10DX,ANY,D50.0
ANEMIA,ICD10DX,ANY,D50.1
ANEMIA,ICD10DX,ANY,D50.8
ANEMIA,ICD10DX,ANY,D50.9
ANEMIA,ICD10DX,ANY,D51.0
ANEMIA,ICD10DX,ANY,D51.1
ANEMIA,ICD10DX,ANY,D51.2
ANEMIA,ICD10DX,ANY,D51.3
ANEMIA,ICD10DX,ANY,D51.8
ANEMIA,ICD10DX,ANY,D51.9
ANEMIA,ICD10DX,ANY,D52.0
ANEMIA,ICD10DX,ANY,D52.1
ANEMIA,ICD10DX,ANY,D52.8
ANEMIA,ICD10DX,ANY,D52.9
ANEMIA,ICD10DX,ANY,D53.0
