Condition,Condition_long,Claim_type1,Num_dx1,Claim_type2,Num_dx2,Min_Days_Apart,Max_Days_apart,Ref_months,Source
HYPOTH,Hypothyroidism,"IP,SNF,HHA",1,"OP,CAR",2,1,,24,CMS Chronic Condition Data Warehouse Condition 30 Categories (Feb. 2022)
AMI,Acute Myocardial Infarction,IP,1,,,1,,12,CMS Chronic Condition Data Warehouse Condition 30 Categories (Feb. 2022)
ALZH,Alzheimer's Disease,"IP,SNF,HHA",1,"OP,CAR",2,1,,24,CMS Chronic Condition Data Warehouse Condition 30 Categories (Feb. 2022)
NONADDEM,Non-Alzheimer's Dementia,"IP,SNF,HHA",1,"OP,CAR",2,1,,24,CMS Chronic Condition Data Warehouse Condition 30 Categories (Feb. 2022)
ANEMIA,Anemia,"IP,SNF,HHA",1,"OP,CAR",2,1,,24,CMS Chronic Condition Data Warehouse Condition 30 Categories (Feb. 2022)
ASTHMA,Asthma,"IP,SNF,HHA",1,"OP,CAR",2,1,,24,CMS Chronic Condition Data Warehouse Condition 30 Categories (Feb. 2022)
ATRIALF,Atrial Fibrillation and Flutter,"IP,SNF,HHA",1,"OP,CAR",2,1,,24,CMS Chronic Condition Data Warehouse Condition 30 Categories (Feb. 2022)
HYPERP,Benign Prostatic Hyperplasia,"IP,SNF,HHA",1,"OP,CAR",2,1,,24,CMS Chronic Condition Data Warehouse Condition 30 Categories (Feb. 2022)
CATARACT,Cataract,"OP,CAR",1,,,1,,12,CMS Chronic Condition Data Warehouse Condition 30 Categories (Feb. 2022)
CKD,Chronic Kidney Disease,"IP,SNF,HHA",1,"OP,CAR",2,1,,24,CMS Chronic Condition Data Warehouse Condition 30 Categories (Feb. 2022)
COPD,Chronic Obstructive Pulmonary Disease,"IP,SNF,HHA",1,"OP,CAR",2,1,,24,CMS Chronic Condition Data Warehouse Condition 30 Categories (Feb. 2022)
CNCRCLR,"Cancer, Colorectal","IP,SNF",1,"OP,CAR",2,1,,24,CMS Chronic Condition Data Warehouse Condition 30 Categories (Feb. 2022)
DEPRESSN,"Depression, Bipolar, or Other Depressive Mood Disorters","IP,SNF,HHA",1,"OP,CAR",2,1,,24,CMS Chronic Condition Data Warehouse Condition 30 Categories (Feb. 2022)
DIABETES,Diabetes,"IP,SNF,HHA",1,"OP,CAR",2,1,,24,CMS Chronic Condition Data Warehouse Condition 30 Categories (Feb. 2022)
CNCREND,"Cancer, Endometrial","IP,SNF",1,"OP,CAR",2,1,,24,CMS Chronic Condition Data Warehouse Condition 30 Categories (Feb. 2022)
CNCRBRST,"Cancer, Breast","IP,SNF",1,"OP,CAR",2,1,,24,CMS Chronic Condition Data Warehouse Condition 30 Categories (Feb. 2022)
GLAUCOMA,Glaucoma,"OP,CAR",1,,,1,,24,CMS Chronic Condition Data Warehouse Condition 30 Categories (Feb. 2022)
CHF,Heart Failure and Non-Ischemic Heart Disease,"IP,SNF,HHA",1,"OP,CAR",2,1,,24,CMS Chronic Condition Data Warehouse Condition 30 Categories (Feb. 2022)
HIPFRAC,Hip/Pelvic Fracture,"IP,SNF,OP,CAR",1,,,1,,12,CMS Chronic Condition Data Warehouse Condition 30 Categories (Feb. 2022)
HYPERL,Hyperlipedemia,"IP,SNF,HHA",1,"OP,CAR",2,1,,24,CMS Chronic Condition Data Warehouse Condition 30 Categories (Feb. 2022)
HYPERT,Hypertension,"IP,SNF,HHA",1,"OP,CAR",2,1,,24,CMS Chronic Condition Data Warehouse Condition 30 Categories (Feb. 2022)
ISCHMCHT,Ischemic Heart Disease,"IP,SNF,HHA",1,"OP,CAR",2,1,,24,CMS Chronic Condition Data Warehouse Condition 30 Categories (Feb. 2022)
CNCRLNG,"Cancer, Lung","IP,SNF",1,"OP,CAR",2,1,,24,CMS Chronic Condition Data Warehouse Condition 30 Categories (Feb. 2022)
OSTEOPRS,Osteoporosis With or Without Pathological Fracture,"IP,SNF,HHA",1,"OP,CAR",2,1,,24,CMS Chronic Condition Data Warehouse Condition 30 Categories (Feb. 2022)
CNCRPRST,"Cancer, Prostate","IP,SNF",1,"OP,CAR",2,1,,24,CMS Chronic Condition Data Warehouse Condition 30 Categories (Feb. 2022)
RAOA,Rheumatoid Arthritis/Osteoarthritis,"IP,SNF,HHA",1,"OP,CAR",2,1,,24,CMS Chronic Condition Data Warehouse Condition 30 Categories (Feb. 2022)
STRKETIA,Stroke/Transient Ischemic Attack,"IP,OP,CAR",1,,,1,,12,CMS Chronic Condition Data Warehouse Condition 30 Categories (Feb. 2022)
CNCRURO,"Cancer, Urologic (Kidney, Renal Pelvis, and Ureter)","IP,SNF",1,"OP,CAR",2,1,,24,CMS Chronic Condition Data Warehouse Condition 30 Categories (Feb. 2022)
PARKINSN,Parkinson's Disease and Secondary Parkinsonism,"IP,SNF,HHA",1,"OP,CAR",2,1,,24,CMS Chronic Condition Data Warehouse Condition 30 Categories (Feb. 2022)
PNEUM,"Pneumonia, all-cause","IP,SNF,HHA",1,"OP,CAR",2,1,,12,CMS Chronic Condition Data Warehouse Condition 30 Categories (Feb. 2022)
