Condition,CodeType,DxCode,DxCodeLocation
HYPERP,ICD10DX,D29.1,ANY
STRKETIA,ICD10DX,S02.0XXA,ANY
STRKETIA,ICD10DX,S02.10XA,ANY
STRKETIA,ICD10DX,S02.10XB,ANY
STRKETIA,ICD10DX,S02.110A,ANY
STRKETIA,ICD10DX,S02.111A,ANY
STRKETIA,ICD10DX,S02.112A,ANY
STRKETIA,ICD10DX,S02.113A,ANY
STRKETIA,ICD10DX,S02.110B,ANY
STRKETIA,ICD10DX,S02.110D,ANY
STRKETIA,ICD10DX,S02.110G,ANY
STRKETIA,ICD10DX,S02.110K,ANY
STRKETIA,ICD10DX,S02.110S,ANY
STRKETIA,ICD10DX,S02.111A,ANY
STRKETIA,ICD10DX,S02.111B,ANY
STRKETIA,ICD10DX,S02.112B,ANY
STRKETIA,ICD10DX,S02.113B,ANY
STRKETIA,ICD10DX,S02.118A,ANY
STRKETIA,ICD10DX,S02.118B,ANY
STRKETIA,ICD10DX,S02.119A,ANY
STRKETIA,ICD10DX,S02.119B,ANY
STRKETIA,ICD10DX,S02.19XA,ANY
STRKETIA,ICD10DX,S02.19XB,ANY
STRKETIA,ICD10DX,S02.2XXA,ANY
STRKETIA,ICD10DX,S02.2XXB,ANY
STRKETIA,ICD10DX,S02.3XXA,ANY
STRKETIA,ICD10DX,S02.3XXB,ANY
STRKETIA,ICD10DX,S02.400A,ANY
STRKETIA,ICD10DX,S02.401A,ANY
STRKETIA,ICD10DX,S02.402A,ANY
STRKETIA,ICD10DX,S02.400B,ANY
STRKETIA,ICD10DX,S02.401B,ANY
STRKETIA,ICD10DX,S02.402B,ANY
STRKETIA,ICD10DX,S02.411A,ANY
STRKETIA,ICD10DX,S02.412A,ANY
STRKETIA,ICD10DX,S02.413A,ANY
STRKETIA,ICD10DX,S02.411B,ANY
STRKETIA,ICD10DX,S02.412B,ANY
STRKETIA,ICD10DX,S02.413B,ANY
STRKETIA,ICD10DX,S02.42XA,ANY
STRKETIA,ICD10DX,S02.42XB,ANY
STRKETIA,ICD10DX,S02.600A,ANY
STRKETIA,ICD10DX,S02.600B,ANY
STRKETIA,ICD10DX,S02.609A,ANY
STRKETIA,ICD10DX,S02.609B,ANY
STRKETIA,ICD10DX,S02.61XA,ANY
STRKETIA,ICD10DX,S02.62XA,ANY
STRKETIA,ICD10DX,S02.63XA,ANY
STRKETIA,ICD10DX,S02.64XA,ANY
STRKETIA,ICD10DX,S02.65XA,ANY
STRKETIA,ICD10DX,S02.66XA,ANY
STRKETIA,ICD10DX,S02.67XA,ANY
STRKETIA,ICD10DX,S02.69XA,ANY
STRKETIA,ICD10DX,S02.61XB,ANY
STRKETIA,ICD10DX,S02.62XA,ANY
STRKETIA,ICD10DX,S02.63XA,ANY
STRKETIA,ICD10DX,S02.64XA,ANY
STRKETIA,ICD10DX,S02.65XA,ANY
STRKETIA,ICD10DX,S02.66XA,ANY
STRKETIA,ICD10DX,S02.67XB,ANY
STRKETIA,ICD10DX,S02.69XB,ANY
STRKETIA,ICD10DX,S02.8XXA,ANY
STRKETIA,ICD10DX,S02.8XXB,ANY
STRKETIA,ICD10DX,S02.91XA,ANY
STRKETIA,ICD10DX,S02.91XB,ANY
STRKETIA,ICD10DX,S02.92XA,ANY
STRKETIA,ICD10DX,S02.92XB,ANY
STRKETIA,ICD10DX,S06.0X0A,ANY
STRKETIA,ICD10DX,S06.0X1A,ANY
STRKETIA,ICD10DX,S06.0X2A,ANY
STRKETIA,ICD10DX,S06.0X3A,ANY
STRKETIA,ICD10DX,S06.0X4A,ANY
STRKETIA,ICD10DX,S06.0X5A,ANY
STRKETIA,ICD10DX,S06.0X6A,ANY
STRKETIA,ICD10DX,S06.0X7A,ANY
STRKETIA,ICD10DX,S06.0X8A,ANY
STRKETIA,ICD10DX,S06.0X9A,ANY
STRKETIA,ICD10DX,S06.1X0A,ANY
STRKETIA,ICD10DX,S06.1X1A,ANY
STRKETIA,ICD10DX,S06.1X2A,ANY
STRKETIA,ICD10DX,S06.1X3A,ANY
STRKETIA,ICD10DX,S06.1X4A,ANY
STRKETIA,ICD10DX,S06.1X5A,ANY
STRKETIA,ICD10DX,S06.1X6A,ANY
STRKETIA,ICD10DX,S06.1X7A,ANY
STRKETIA,ICD10DX,S06.1X8A,ANY
STRKETIA,ICD10DX,S06.1X9A,ANY
STRKETIA,ICD10DX,S06.2X0A,ANY
STRKETIA,ICD10DX,S06.2X1A,ANY
STRKETIA,ICD10DX,S06.2X2A,ANY
STRKETIA,ICD10DX,S06.2X3A,ANY
STRKETIA,ICD10DX,S06.2X4A,ANY
STRKETIA,ICD10DX,S06.2X5A,ANY
STRKETIA,ICD10DX,S06.2X6A,ANY
STRKETIA,ICD10DX,S06.2X7A,ANY
STRKETIA,ICD10DX,S06.2X8A,ANY
STRKETIA,ICD10DX,S06.2X9A,ANY
STRKETIA,ICD10DX,S06.2X0B,ANY
STRKETIA,ICD10DX,S06.2X1B,ANY
STRKETIA,ICD10DX,S06.2X2B,ANY
STRKETIA,ICD10DX,S06.2X3B,ANY
STRKETIA,ICD10DX,S06.2X4B,ANY
