Condition,CodeType,DxCode2017,DxCodeLocation
HYPERP,ICD9DX,222.2,ANY
HYPERP,ICD10DX,D29.1,ANY
STRKETIA,ICD9DX,800,ANY
STRKETIA,ICD9DX,800.01,ANY
STRKETIA,ICD9DX,800.02,ANY
STRKETIA,ICD9DX,800.03,ANY
STRKETIA,ICD9DX,800.04,ANY
STRKETIA,ICD9DX,800.05,ANY
STRKETIA,ICD9DX,800.06,ANY
STRKETIA,ICD9DX,800.09,ANY
STRKETIA,ICD9DX,800.1,ANY
STRKETIA,ICD9DX,800.11,ANY
STRKETIA,ICD9DX,800.12,ANY
STRKETIA,ICD9DX,800.13,ANY
STRKETIA,ICD9DX,800.14,ANY
STRKETIA,ICD9DX,800.15,ANY
STRKETIA,ICD9DX,800.16,ANY
STRKETIA,ICD9DX,800.19,ANY
STRKETIA,ICD9DX,800.2,ANY
STRKETIA,ICD9DX,800.21,ANY
STRKETIA,ICD9DX,800.22,ANY
STRKETIA,ICD9DX,800.23,ANY
STRKETIA,ICD9DX,800.24,ANY
STRKETIA,ICD9DX,800.25,ANY
STRKETIA,ICD9DX,800.26,ANY
STRKETIA,ICD9DX,800.29,ANY
STRKETIA,ICD9DX,800.3,ANY
STRKETIA,ICD9DX,800.31,ANY
STRKETIA,ICD9DX,800.32,ANY
STRKETIA,ICD9DX,800.33,ANY
STRKETIA,ICD9DX,800.34,ANY
STRKETIA,ICD9DX,800.35,ANY
STRKETIA,ICD9DX,800.36,ANY
STRKETIA,ICD9DX,800.39,ANY
STRKETIA,ICD9DX,800.4,ANY
STRKETIA,ICD9DX,800.41,ANY
STRKETIA,ICD9DX,800.42,ANY
STRKETIA,ICD9DX,800.43,ANY
STRKETIA,ICD9DX,800.44,ANY
STRKETIA,ICD9DX,800.45,ANY
STRKETIA,ICD9DX,800.46,ANY
STRKETIA,ICD9DX,800.49,ANY
STRKETIA,ICD9DX,800.5,ANY
STRKETIA,ICD9DX,800.51,ANY
STRKETIA,ICD9DX,800.52,ANY
STRKETIA,ICD9DX,800.53,ANY
STRKETIA,ICD9DX,800.54,ANY
STRKETIA,ICD9DX,800.55,ANY
STRKETIA,ICD9DX,800.56,ANY
STRKETIA,ICD9DX,800.59,ANY
STRKETIA,ICD9DX,800.6,ANY
STRKETIA,ICD9DX,800.61,ANY
STRKETIA,ICD9DX,800.62,ANY
STRKETIA,ICD9DX,800.63,ANY
STRKETIA,ICD9DX,800.64,ANY
STRKETIA,ICD9DX,800.65,ANY
STRKETIA,ICD9DX,800.66,ANY
STRKETIA,ICD9DX,800.69,ANY
STRKETIA,ICD9DX,800.7,ANY
STRKETIA,ICD9DX,800.71,ANY
STRKETIA,ICD9DX,800.72,ANY
STRKETIA,ICD9DX,800.73,ANY
STRKETIA,ICD9DX,800.74,ANY
STRKETIA,ICD9DX,800.75,ANY
STRKETIA,ICD9DX,800.76,ANY
STRKETIA,ICD9DX,800.79,ANY
STRKETIA,ICD9DX,800.8,ANY
STRKETIA,ICD9DX,800.81,ANY
STRKETIA,ICD9DX,800.82,ANY
STRKETIA,ICD9DX,800.83,ANY
STRKETIA,ICD9DX,800.84,ANY
STRKETIA,ICD9DX,800.85,ANY
STRKETIA,ICD9DX,800.86,ANY
STRKETIA,ICD9DX,800.89,ANY
STRKETIA,ICD9DX,800.9,ANY
STRKETIA,ICD9DX,800.91,ANY
STRKETIA,ICD9DX,800.92,ANY
STRKETIA,ICD9DX,800.93,ANY
STRKETIA,ICD9DX,800.94,ANY
STRKETIA,ICD9DX,800.95,ANY
STRKETIA,ICD9DX,800.96,ANY
STRKETIA,ICD9DX,800.99,ANY
STRKETIA,ICD9DX,801,ANY
STRKETIA,ICD9DX,801.01,ANY
