Condition,CodeType,DxCodeLocation,DxCode,,,,,,
ALZH,ICD10DX,ANY,G30.0,,,,,,
ALZH,ICD10DX,ANY,G30.1,,,,,,
ALZH,ICD10DX,ANY,G30.8,,,,,,
ALZH,ICD10DX,ANY,G30.9,,,,,,
ALZH,ICD9DX,ANY,331,,,,,,
ALZHDMT,ICD10DX,ANY,F01.50,,,,,,
ALZHDMT,ICD10DX,ANY,F01.51,,,,,,
ALZHDMT,ICD10DX,ANY,F02.80,,,,,,
ALZHDMT,ICD10DX,ANY,F02.81,,,,,,
ALZHDMT,ICD10DX,ANY,F03.90,,,,,,
ALZHDMT,ICD10DX,ANY,F03.91,,,,,,
ALZHDMT,ICD10DX,ANY,F04,,,,,,
ALZHDMT,ICD10DX,ANY,F05,,,,,,
ALZHDMT,ICD10DX,ANY,F06.1,,,,,,
ALZHDMT,ICD10DX,ANY,F06.8,,,,,,
ALZHDMT,ICD10DX,ANY,G13.8,,,,,,
ALZHDMT,ICD10DX,ANY,G30.0,,,,,,
ALZHDMT,ICD10DX,ANY,G30.1,,,,,,
ALZHDMT,ICD10DX,ANY,G30.8,,,,,,
ALZHDMT,ICD10DX,ANY,G30.9,,,,,,
ALZHDMT,ICD10DX,ANY,G31.01,,,,,,
ALZHDMT,ICD10DX,ANY,G31.09,,,,,,
ALZHDMT,ICD10DX,ANY,G31.1,,,,,,
ALZHDMT,ICD10DX,ANY,G31.2,,,,,,
ALZHDMT,ICD10DX,ANY,G94,,,,,,
ALZHDMT,ICD10DX,ANY,R41.81,,,,,,
ALZHDMT,ICD10DX,ANY,R54,,,,,,
ALZHDMT,ICD9DX,ANY,290,,,,,,
ALZHDMT,ICD9DX,ANY,290.1,,,,,,
ALZHDMT,ICD9DX,ANY,290.11,,,,,,
ALZHDMT,ICD9DX,ANY,290.12,,,,,,
ALZHDMT,ICD9DX,ANY,290.13,,,,,,
ALZHDMT,ICD9DX,ANY,290.2,,,,,,
ALZHDMT,ICD9DX,ANY,290.21,,,,,,
ALZHDMT,ICD9DX,ANY,290.3,,,,,,
ALZHDMT,ICD9DX,ANY,290.4,,,,,,
ALZHDMT,ICD9DX,ANY,290.41,,,,,,
ALZHDMT,ICD9DX,ANY,290.42,,,,,,
ALZHDMT,ICD9DX,ANY,290.43,,,,,,
ALZHDMT,ICD9DX,ANY,294,,,,,,
ALZHDMT,ICD9DX,ANY,294.1,,,,,,
ALZHDMT,ICD9DX,ANY,294.11,,,,,,
ALZHDMT,ICD9DX,ANY,294.2,,,,,,
