Condition,CodeType,DxCode,DxCodeLocation
STRKETIA,ICD9DX,800,ANY
STRKETIA,ICD9DX,800.1,ANY
STRKETIA,ICD9DX,800.2,ANY
STRKETIA,ICD9DX,800.3,ANY
STRKETIA,ICD9DX,800.4,ANY
STRKETIA,ICD9DX,800.5,ANY
STRKETIA,ICD9DX,800.6,ANY
STRKETIA,ICD9DX,800.7,ANY
STRKETIA,ICD9DX,800.8,ANY
STRKETIA,ICD9DX,800.9,ANY
STRKETIA,ICD9DX,801,ANY
STRKETIA,ICD9DX,801,ANY
STRKETIA,ICD9DX,801.1,ANY
STRKETIA,ICD9DX,801.2,ANY
STRKETIA,ICD9DX,801.3,ANY
STRKETIA,ICD9DX,801.4,ANY
STRKETIA,ICD9DX,801.5,ANY
STRKETIA,ICD9DX,801.6,ANY
STRKETIA,ICD9DX,801.7,ANY
STRKETIA,ICD9DX,801.8,ANY
STRKETIA,ICD9DX,801.9,ANY
STRKETIA,ICD9DX,802,ANY
STRKETIA,ICD9DX,802,ANY
STRKETIA,ICD9DX,802.1,ANY
STRKETIA,ICD9DX,802.2,ANY
STRKETIA,ICD9DX,802.2,ANY
STRKETIA,ICD9DX,802.21,ANY
STRKETIA,ICD9DX,802.23,ANY
STRKETIA,ICD9DX,802.24,ANY
STRKETIA,ICD9DX,802.25,ANY
STRKETIA,ICD9DX,802.26,ANY
STRKETIA,ICD9DX,802.27,ANY
STRKETIA,ICD9DX,802.28,ANY
STRKETIA,ICD9DX,802.29,ANY
STRKETIA,ICD9DX,802.3,ANY
STRKETIA,ICD9DX,802.3,ANY
STRKETIA,ICD9DX,802.31,ANY
STRKETIA,ICD9DX,802.32,ANY
STRKETIA,ICD9DX,802.33,ANY
STRKETIA,ICD9DX,802.34,ANY
STRKETIA,ICD9DX,802.35,ANY
STRKETIA,ICD9DX,802.36,ANY
STRKETIA,ICD9DX,802.37,ANY
STRKETIA,ICD9DX,802.38,ANY
STRKETIA,ICD9DX,802.39,ANY
STRKETIA,ICD9DX,802.4,ANY
STRKETIA,ICD9DX,802.5,ANY
STRKETIA,ICD9DX,802.6,ANY
STRKETIA,ICD9DX,802.7,ANY
STRKETIA,ICD9DX,802.8,ANY
STRKETIA,ICD9DX,803,ANY
STRKETIA,ICD9DX,803,ANY
STRKETIA,ICD9DX,803.1,ANY
STRKETIA,ICD9DX,803.2,ANY
STRKETIA,ICD9DX,803.3,ANY
STRKETIA,ICD9DX,803.4,ANY
STRKETIA,ICD9DX,803.5,ANY
STRKETIA,ICD9DX,803.6,ANY
STRKETIA,ICD9DX,803.7,ANY
STRKETIA,ICD9DX,803.8,ANY
STRKETIA,ICD9DX,803.9,ANY
STRKETIA,ICD9DX,804,ANY
STRKETIA,ICD9DX,804,ANY
STRKETIA,ICD9DX,804.1,ANY
STRKETIA,ICD9DX,804.2,ANY
STRKETIA,ICD9DX,804.3,ANY
STRKETIA,ICD9DX,804.4,ANY
STRKETIA,ICD9DX,804.5,ANY
STRKETIA,ICD9DX,804.6,ANY
STRKETIA,ICD9DX,804.7,ANY
STRKETIA,ICD9DX,804.8,ANY
STRKETIA,ICD9DX,804.9,ANY
STRKETIA,ICD9DX,V57,DX1
STRKETIA,ICD9DX,V57.0,DX1
STRKETIA,ICD9DX,V57.1,DX1
STRKETIA,ICD9DX,V57.2,DX1
STRKETIA,ICD9DX,V57.3,DX1
STRKETIA,ICD9DX,V57.4,DX1
STRKETIA,ICD9DX,V57.9,DX1
STRKETIA,ICD9DX,V57.9,DX1
STRKETIA,ICD9DX,850,ANY
STRKETIA,ICD9DX,850,ANY
STRKETIA,ICD9DX,850.1,ANY
STRKETIA,ICD9DX,850.2,ANY
STRKETIA,ICD9DX,850.3,ANY
STRKETIA,ICD9DX,850.4,ANY
STRKETIA,ICD9DX,850.5,ANY
STRKETIA,ICD9DX,850.9,ANY
STRKETIA,ICD9DX,851,ANY
STRKETIA,ICD9DX,851,ANY
STRKETIA,ICD9DX,851.1,ANY
STRKETIA,ICD9DX,851.2,ANY
STRKETIA,ICD9DX,851.3,ANY
STRKETIA,ICD9DX,851.4,ANY
STRKETIA,ICD9DX,851.5,ANY
STRKETIA,ICD9DX,851.6,ANY
STRKETIA,ICD9DX,851.7,ANY
STRKETIA,ICD9DX,851.8,ANY
STRKETIA,ICD9DX,851.9,ANY
STRKETIA,ICD9DX,852,ANY
STRKETIA,ICD9DX,852,ANY
STRKETIA,ICD9DX,852.1,ANY
STRKETIA,ICD9DX,852.2,ANY
STRKETIA,ICD9DX,852.3,ANY
STRKETIA,ICD9DX,852.4,ANY
STRKETIA,ICD9DX,852.5,ANY
STRKETIA,ICD9DX,853,ANY
STRKETIA,ICD9DX,853,ANY
STRKETIA,ICD9DX,853.1,ANY
STRKETIA,ICD9DX,854,ANY
STRKETIA,ICD9DX,854,ANY
STRKETIA,ICD9DX,854.1,ANY
HYPERP,ICD9DX,222.2,ANY
HYPERP,ICD10DX,D29.1,ANY
STRKETIA,ICD10DX,S02.0XXA,ANY
STRKETIA,ICD10DX,S02.0XXB,ANY
STRKETIA,ICD10DX,S02.10XA,ANY
STRKETIA,ICD10DX,S02.10XB,ANY
STRKETIA,ICD10DX,S02.110A,ANY
STRKETIA,ICD10DX,S02.111A,ANY
STRKETIA,ICD10DX,S02.112A,ANY
STRKETIA,ICD10DX,S02.113A,ANY
STRKETIA,ICD10DX,S02.110B,ANY
STRKETIA,ICD10DX,S02.110D,ANY
STRKETIA,ICD10DX,S02.110G,ANY
STRKETIA,ICD10DX,S02.110K,ANY
STRKETIA,ICD10DX,S02.110S,ANY
